dataset,sample_method,storage_method,select_time,space_cost,flush_time
TBM4,v_sample10000,autoaligned,0.0,0.0,3
TBM4,v_sample10000,autoaligned,0.0,7.473,3
TBM4,v_sample10000,autoaligned,0.0,7.473,3
TBM4,v_sample10000,autoaligned,0.0,7.473,3
TBM2,v_sample10000,autoaligned,0.0,1547.99,3
TBM2,v_sample10000,autoaligned,0.0,1566.511,3
TBM2,v_sample10000,autoaligned,0.0,1540.231,3
TBM2,v_sample10000,autoaligned,0.0,1540.231,3
TBM2,v_sample10000,autoaligned,0.0,1540.231,3
TBM2,v_sample10000,autoaligned,0.0,1540.231,3
TBM2,v_sample10000,autoaligned,0.0,1547.71,3
TBM2,v_sample10000,autoaligned,0.0,1547.71,3
TBM2,v_sample10000,autoaligned,0.0,1547.71,3
TBM2,v_sample10000,autoaligned,0.0,0.814,3
TBM2,v_sample10000,autoaligned,0.0,0.814,3
TBM4,v_sample10000,autoaligned,0.0,0.882,3
TBM4,v_sample10000,autoaligned,0.0,1.677,3
TBM4,v_sample10000,autoaligned,0.0,1.677,3
TBM4,v_sample10000,autoaligned,0.0,1.677,3
TBM4,v_sample10000,autoaligned,0.0,7.339,3
TBM2,v_sample10000,autoaligned,0.0,1180.266,3
TBM2,v_sample10000,autoaligned,0.0,1172.959,3
TBM2,v_sample10000,autoaligned,0.0,1180.573,3
TBM2,v_sample10000,autoaligned,0.0,1323.855,3
TBM4,v_sample10000,autoaligned,0.0007222493489583,6.987,3
TBM4,v_sample10000,autoaligned,0.0003348191579182,6.987,3
TBM2,v_sample10000,autoaligned,0.099999189376831,1200.664,3
Vehicle2,v_sample10000,autoaligned,0.4082458813985188,1200.664,3
Vehicle2,v_sample10000,autoaligned,0.0229746500651041,1200.664,3
TBMM1,v_sample10000,autoaligned,0.0296356678009033,1200.664,3
TBMM1,v_sample10000,autoaligned,0.0249740282694498,1200.664,3
TBMM1,v_sample10000,autoaligned,0.0269712607065836,1200.664,3
TBMM1,v_sample10000,autoaligned,0.026638905207316,1200.664,3
TBM2_20000,v_sample10000,autoaligned,0.0245898564656575,1200.664,3
TBM2_80000,v_sample10000,autoaligned,0.0561826229095459,1200.664,3
